Description,Index,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
pick up left arm and pick up block 2nd from the back.,179,Configuration_3_v2.png,human,1,0:00:12,no,very hard,awesome study,26,male,student,5/10/2016,Right,1,2,2,3,4,no,21
Pick up the green block on the far right,703,Configuration_3_v2.png,human,4,0:00:15,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99
Pick up the green block furthest from you.,503,Configuration_3_v2.png,human,5,0:00:16,I used relative positions,Moderately challenging to ensure correct block is chosen,,23,male,student,>20,Right,1,5,3,7,5,I have built and programmed robots to perform simple tasks like solving a maze or following a line on the ground.,243
"To your left, count 2 blocks then grab the one immediately after it.",1538,Configuration_3_v2.png,human,4,0:00:53,Just putting myself in their shoes.,"Quite challenging, but very fun nonetheless. ",Very fun!,23,female,Nanny,15-20,Right,1,1,1,7,6,Nope,909
The block is on the bottom right. It is in the middle of the block on the farthest right and the one next to it.,553,Configuration_3_v2.png,human,1,0:02:38,I had no strategy.,It was pretty challenging. The most challenging was describing where the blocks were.,,27,male,Sales Manager,>20,Right,1,2,4,5,5,,31
Pick up the only green block to your left.,675,Configuration_3_v2.png,human,5,0:00:14,"I tried to imagine myself sitting as the person in the chair and go for simplicity and number of colors. For example, if there's only two blue blocks on the left and right side respectively, I instructed to pick up the right blue block. ",I thought it was challenging when there were bunches of blocks in circular arrangements. It was hard to instruct the person and I'm not sure I was able to give a good direction.,Really fun!,32,female,Bakery Manager,>20,Right,1,1,1,7,5,,251
Pick up the green block that is furthest away from you and in front of two blue blocks.,981,Configuration_3_v2.png,human,4,0:00:50,I tried to imagine that I was the one receiving the instructions to make sure I could follow them.,Not too challenging. It was more challenging when there was more than one block that could meet many of the criteria.,Thank you!,56,female,homemaker,>20,Right,1,5,3,5,5,I own a robot vacuum and I've seen them at the tech center. That is about my experience with robots.,233
Grab the green block that is closest to me. The one that is near the two blocks directly in front of me.,425,Configuration_3_v2.png,human,5,0:00:23,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3
Pick up the green block on your left.,1101,Configuration_3_v2.png,human,5,0:00:14,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203
pick up the green block on the left,1370,Configuration_3_v2.png,human,4,0:00:16,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
Pick up the green block furthest from you.,669,Configuration_3_v2.png,human,5,0:00:21,"I tried to use the proximity of a block to the robot, as well as the left and right directions. I also used proximity to other blocks when necessary.",The most challenging part was trying to envision how to give the instructions in an unambiguous manner that the robot would understand easily without making a mistake.,"Thanks, this was fun and interesting!",47,male,Manager,15-20,Right,1,2,2,6,7,"Only briefly on an assembly line at a food processing plant I was touring with some other managers in our company. It was nothing too fancy, mostly sorting fish by weight for human workers to manually process.",69
Move the second orange block from the right corner and then pick up the green block.,519,Configuration_3_v2.png,human,4,0:02:21,I try to mention the near by blocks colour. So It will easy to pick up the right one.,Some are easy and are very hard to explain.,Interesting study. Thank you.,35,male,Marketing,>20,Right,0,2,2,5,5,No I didn't seen any robots in my real life.,39
Pick up the green block at the top left portion of the blocks.,1400,Configuration_3_v2.png,human,5,0:00:24,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together.,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Pick up the green block that is farthest on your left.,437,Configuration_3_v2.png,human,5,0:00:21,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7
Pick up the green block that is next to the two blue blocks,289,Configuration_3_v2.png,human,4,0:00:17,No,It was challenging to think from the other person's persepctive,None,26,male,Accounting,>20,Right,1,1,1,6,4,No,55
Locate and pick up the green block located on the top part of the table,1337,Configuration_3_v2.png,human,5,0:00:54,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
"Raise your right hand, reach across the table directly in front of you and touch the first green block covered by the shadow of your hand.",579,Configuration_3_v2.png,human,1,0:01:06,"If I have followed strategies, I am unaware of the times when I do. ",This task was extremely challenging and hard.,This was an interesting task.,33,female,System Analyst,15-20,Right,1,1,1,7,7,No I have not.,37
the furthest green block from you,1169,Configuration_3_v2.png,human,4,0:00:15,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209
I would ask them to pick up the block in front of them to their top left corner.,1457,Configuration_3_v2.png,human,3,0:00:52,No.,I was sort of challenging but nothing I couldn't handle.,Thanks!,31,male,Photographer,15-20,Right,1,5,3,5,5,Yes. The experience was amusing.,901
Pick up the green block that is farther from you  than the other green block.,263,Configuration_3_v2.png,robot,3,0:00:28,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10/15/2016,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Look at the table and pick up the green block that is furthest to the right.,541,Configuration_3_v2.png,robot,4,0:00:23,Try to command the robot to focus on a certain area of the table and direct him that way.,"It was quite challenging, especially when there are multiple blocks of the same color in the same area.",,43,male,self-employed,>20,Left,1,3,3,4,4,"I have not seen any robots in person other than the toy servant robots back during the 80s.  I've seen them on television/movies/etc, but I do not have first-hand experience with them.",38
Pick up the green block farthest away from you.,241,Configuration_3_v2.png,robot,5,0:00:16,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the green block farthest away from you.,731,Configuration_3_v2.png,robot,4,0:00:25,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228
Pick up the green block furthest to your left.,597,Configuration_3_v2.png,robot,4,0:00:14,"I attempted to use language and directions that would indicate the position on the table in the simplest terms that the robot could understand. My first choice would be if that block was the only one of its color. Second choice would be proximity - closest or furthest from the robot. If those didn't work well, then I went to relative positioning compared to other blocks of either the same color or different colors.",I found the task quite challenging. Many of the blocks were not placed in ways where it was easy to come up with descriptors that would feel right. It's difficult to break down a task that seems to simple to a human brain and attempt to get a machine to do what it's being instructed. It's so intuitive for us to follow instructions like those that it's difficult to translate that into a tangible instruction.,"I enjoyed this task. I felt like it was fun and challenging. At the same time, I think the time estimate given for the task seemed long. Also, it would be really beneficial to provide multiple examples of how one might describe stuff to the robot. I felt at times like I was sort of flailing in the wind, and just doing the best I could given limited information. Perhaps that was the intention.",34,female,Administrative Assistant,>20,Right,1,2,2,6,6,Not that I can recall.,36
Pick up the only green block that is on your far left side.,487,Configuration_3_v2.png,robot,4,0:00:22,"I referenced block colors, and the sides of the robot (left side, right side).",It wasn't too challenging overall. The most challenging was when there wasn't a clear way to delineate the block.,This was interesting. I enjoyed the task. Thank you.,52,female,Data Analyst,>20,Right,1,2,1,4,4,N/A,240
"Pick up the green block on your left side, in front of the furthest blue block.",1498,Configuration_3_v2.png,robot,3,0:00:58,I mainly trued to give specific directional instructions. Specified block color and area of the table from robots point of view,At first it was hard to get the hang of. I would say it was most difficult when the selected block was surrounded by blocks of the same color or when there was another similar block pattern on the table making it harder to specify which area of the table.,,30,female,caregiver,>20,Right,1,1,1,1,1,,904
Pick up the green block that is furthest from you.,947,Configuration_3_v2.png,robot,5,0:00:21,"left/right, close/far, color","pretty easy, the hardest was when the block wasn't isolated by color or location",,54,female,mturk,>20,Right,1,1,1,1,1,no,234
Pick up the furthest away green block.,1177,Configuration_3_v2.png,robot,4,0:00:44,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208
Pick up the green block located between the two orange blocks and the two blue blocks towards the front left side.,453,Configuration_3_v2.png,robot,4,0:01:07,I tried to give location and then surrounding objects as well as what side or in center (of the robot) they are located.,"It was challenging to be specific but not confusing and to remember which sides for the robot versus my perspective.  I am sure I mixed up at least one saying the robot's right side, but was supposed to be left.  Was challenging to tell my brain to see it from the other side of the table.",Great task.  Enjoyed the challenge and nice user format.  Interesting. No issues everything ran well.  Thank you.,48,female,Teacher,>20,Right,1,2,4,6,5,"No I haven't, but I would love to see or even experience using one.",244
Pick up the green block that is further away from you.,1445,Configuration_3_v2.png,robot,5,0:00:28,"Find color patterns that are nearby to use as references, then direct the robot to the block closest to those.","The most challenging aspect was how to use simple terms and language that made sense. Overall some of it was very easy, but there were certainly challenging aspects to a number of the scenarios. I had to make sure when I gave directions to include the orientation of the robot, which is the reverse of mine.","The instructions were not the most clear, but I hope I did them correct.",25,male,Student,>20,Right,1,2,3,7,7,Not that I can recall.,900
Pick up the green block farthest to your left.,1089,Configuration_3_v2.png,robot,5,0:00:14,Not particularly.,The most challenging aspect was switching views of right and left from the other side of the table.,Thank you so much! :D :D :D :D This was truly enjoyable and a lot of fun!,22,female,holistic canine practitioner,>20,Right,1,2,2,2,2,no,200
"pick up the green block on the top right, under the blue blocks",1355,Configuration_3_v2.png,robot,4,0:00:16,Seeing how many other same colored blocks were on the table per trial.,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
Pick up the green block on your right.,1545,Configuration_3_v2.png,robot,5,0:00:21,I had no particular strategy in mind.,The most difficult was trying to distinguish blocks of the same color.,,27,female,X-Ray Tech,15-20,Right,1,1,1,3,1,I went to a Science Fair with remote control robots.,922
I would tell the robot to pick up the green block on the far right just above the two blue blocks,45,Configuration_3_v2.png,robot,4,0:00:21,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
Pick up the green block furthest away from you; it is next to two blue blocks.,887,Configuration_3_v2.png,robot,4,0:00:30,"I was viewing the blocks from the robot's point of view and using directions like ""left"" or ""right"" from that point of reference.  I also frequently used words like ""furthest from you"" or ""closest to you"", again from the robot's point of reference.",The most challenging aspect was differentiating a block that was surrounded by other blocks of the same color.,Very interesting study and very enjoyable to complete!,23,female,"Student, Pharmacy technician",>20,Right,1,3,1,2,6,"My high school robotics team always won the top awards in the district and state.  They were so good that there was a classroom completely devoted to the robotics team.  I had a few friends who were on this team, so I was able to observe them once in a while as they were working towards the next competition.",14
Pick the green block that is farthest from you,337,Configuration_3_v2.png,robot,4,0:00:16,I looked at the block placement from the robots view and angle and used direction to explain it.,"It was interesting and slightly challenging, relatively easy",,43,female,financial employee,>20,Right,1,1,1,3,2,,80
Grab the right-most green block.,153,Configuration_3_v2.png,robot,5,0:00:10,I usually used the sides as a reference point. I would say left-most and right-most as directions.,"I do not think the task was very challenging at all. If the blocks were less clustered by color, and assorted randomly, it would be more difficult.",,25,male,Retail,10/15/2016,Right,1,5,4,7,7,"Nothing more than very simple, non-human-like robots.",26
pick up the farthest away green block,1556,Configuration_3_v2.png,robot,4,0:00:18,I went with describing how far away it was.,Somewhat easy.,I love you,28,male,mturker,>20,Left,1,1,1,6,4,no,926
Pick up the green block that is on the other side of the table.,1111,Configuration_3_v2.png,robot,4,0:00:37,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202
Please pick up the green block on the left side of the table.,623,Configuration_3_v2.png,robot,4,0:00:20,"I try to make sure I mention the location of the block, whether it is on the left or right side of the table.","It was challenging, but I think it got easier as I got used to it.  The most challenging aspect was trying to describe where a block was when it was surrounded by other blocks of the same color.",none.,34,female,Customer Service Rep,15-20,Left,1,2,2,3,5,No,66
Pick up the green block on your left.,1426,Configuration_3_v2.png,robot,5,0:00:23,No strategies,I found some to be more difficult than others depending how many blocks were grouped together.,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the green block closest to me.,969,Configuration_3_v2.png,robot,5,0:00:20,"Defining the directions as closest to me, closest to the robot, robot's left, and robot's right. Also, singling out by color first to avoid confusion.",It was somewhat easy. The most challenging aspect was telling it how to grab blocks that were very near each other but not near the edge.,None. It was stimulating.,31,male,Cafe Worker,15-20,Right,1,2,2,7,5,Hmm. Certainly not recently.,232
Pick up the green block that is in the left portion of the group.,1484,Configuration_3_v2.png,robot,3,0:00:33,I just tried to be consistent in my instructions.,Specifying a block in the middle of a group of similarly colored ones was hard.,none,31,male,systems administrator,>20,Right,1,1,1,7,5,,906
"Put your left hand on the table and slide it forward,i will tell you when to stop and the I want you to pick up a block",1402,Configuration_3_v2.png,robot,2,0:01:39,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Pick up the yellow block that is to your left of the blue block and has three other yellow blocks surrounding it.,992,Configuration_4_v1.png,human,2,0:01:31,I tried to imagine that I was the one receiving the instructions to make sure I could follow them.,Not too challenging. It was more challenging when there was more than one block that could meet many of the criteria.,Thank you!,56,female,homemaker,>20,Right,1,5,3,5,5,I own a robot vacuum and I've seen them at the tech center. That is about my experience with robots.,233
I would ask them to pick the block in front of them to their right.,1468,Configuration_4_v1.png,human,1,0:00:25,No.,I was sort of challenging but nothing I couldn't handle.,Thanks!,31,male,Photographer,15-20,Right,1,5,3,5,5,Yes. The experience was amusing.,901
Please select the yellow block next to the blue block on your right hand side near the center of the table.,202,Configuration_4_v1.png,human,1,0:00:47,"I did not observe that, I was just trying to make it simple for the person across from me. ",Fairly difficult. I found trying to explain the layout to be challenging.,"This has been a very unique and fun HIT, thank you for the work. ",35,male,Retail sales manager,>20,Right,1,2,4,7,5,"I have seen toy robots that I had as a kid int he 80's, but nothing like what they are developing these days in person it would be fun to see them in person.",23
"Pick up the yellow block that is on your far right, the 2nd down in a line of 4 yellow blocks, and directly next to a blue block.",30,Configuration_4_v1.png,human,1,0:00:40,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
"There is a blue block on the table that is positioned to your farthest right. Please pick up the yellow block directly behind, and closest to, that blue block.",64,Configuration_4_v1.png,human,1,0:03:11,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
Pick up the yellow block the third yellow block back on your right hand side next to the blue block.,436,Configuration_4_v1.png,human,2,0:01:04,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7
Grab the yellow block third from your right,408,Configuration_4_v1.png,human,5,0:00:21,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85
Pick up the yellow block surrounded by three yellow blocks and one blue block.,1106,Configuration_4_v1.png,human,1,0:00:28,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203
the yellow block second closest to me touching the blue block furthest to the right,1124,Configuration_4_v1.png,human,1,0:00:32,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205
Locate the blue block on your right side and then pick up the yellow block located to the northwest of that block.,1333,Configuration_4_v1.png,human,4,0:01:12,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
"Raise your left hand in the air, reach directly across the table in front of you and touch the third yellow block, the one that is directly adjacent to the blue block on the left.",584,Configuration_4_v1.png,human,1,0:01:21,"If I have followed strategies, I am unaware of the times when I do. ",This task was extremely challenging and hard.,This was an interesting task.,33,female,System Analyst,15-20,Right,1,1,1,7,7,No I have not.,37
"Look for the rightmost purple block, the block that you want to pick up is yellow and also touching this specific purple block.",360,Configuration_4_v1.png,human,4,0:01:32,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81
Pick up the yellow block that is directly to the left of the blue block that is furthest to your right.,1022,Configuration_4_v1.png,human,1,0:00:29,"Trying to use as much descriptive language, pointing out where blocks are related to each other and what color they are. ",It was actually kind of easy. It was hardest when groups of the same color block were close to each other.,It was pretty fun and rather well paid compared to most.,32,male,Retail Manager,>20,Right,1,2,1,6,7,No,49
please pick up the yellow block next to the blue one on the farthest left,464,Configuration_4_v1.png,human,5,0:00:21,yes saying closest or below or upper etc,not at all challenged,,35,female,student,>20,Left,1,7,1,7,7,no i have not,241
You are to pick up a yellow block. It is on your right side and is above and touching a blue block. It is the lower of the two yellow blocks that are just below the single yellow block that is furthest away from you.,864,Configuration_4_v1.png,human,1,0:01:43,I just spoke as if I was speaking to a real person.,"It was not terribly challenging. My biggest problem was remembering which was ""his"" right or left side.",That was fun!,61,female,Administrative support,>20,Right,1,1,1,1,1,I have not seen a robot except for at Walt Disney World many years ago and my experience was just to watch it.,13
"On the right side, count 3 blocks ahead of the one closest to you",1528,Configuration_4_v1.png,human,3,0:00:20,Just putting myself in their shoes.,"Quite challenging, but very fun nonetheless. ",Very fun!,23,female,Nanny,15-20,Right,1,1,1,7,6,Nope,909
"Starting from the right most orange block, grab the third yellow block behind it.",1162,Configuration_4_v1.png,human,4,0:00:55,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207
grab the yellow block next to the blue block on your right.,392,Configuration_4_v1.png,human,2,0:00:45,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87
Move the yellow block on the top and then pick up the yellow block near the blue block.,520,Configuration_4_v1.png,human,4,0:01:05,I try to mention the near by blocks colour. So It will easy to pick up the right one.,Some are easy and are very hard to explain.,Interesting study. Thank you.,35,male,Marketing,>20,Right,0,2,2,5,5,No I didn't seen any robots in my real life.,39
There are two yellow blocks directly between two blue blocks.  Pick the yellow block that is furthermost from your right.,312,Configuration_4_v1.png,human,3,0:00:39,Generally I try to stick to something that is very obvious so the robot will not be confused.  Such as having it grab the certain colored brick closest to the Robot.,It was not super challenging in any way.  Sometimes the wording of instructions was tricky without being too wordy.,Really enjoyed it.  Thanks for posting it!,30,male,Chief Technology Officer,>20,Right,1,3,,7,7,I have seen some Pharmaceutical Robots when I worked in a Pharmacy several years ago.  It automatically filled the prescriptions by going to the dispenser and filling the bottle.,89
"Stand up, reach out over the table, and grab the yellow block that is touching the blue block closest to me.",1050,Configuration_4_v1.png,human,2,0:00:38,My only strategy was to try to make it seem as straight forward and simplistic as possible for the one who had to pick up the blocks.,It wasn't very challenging. Probably the repetitiveness of it was the hardest.,It was interesting. Thank you.,32,male,Accountant,10/15/2016,Right,1,7,5,5,5,I have not.,41
"Pick up the block on your right side that is in the middle row, almost all the way to your right.",1512,Configuration_4_v1.png,human,2,0:00:31,"Not really, just tried to describe the general area the best I could without being confusing.","It was pretty challenging, I found the hard ones to be where the block was located somewhere in the middle, on a particular side.",It was fun!,23,male,Student,15-20,Right,1,2,3,6,5,No,905
Pick up the second furthest yellow block on your right.,1430,Configuration_4_v1.png,human,3,0:00:25,I followed common sense strategies.,Not challenging. Describing different blocks of the same color.,interesting.,25,male,self employed,>20,Left,1,2,2,3,3,no,903
pick up the yellow block on the right that is between the 2 blue blocks,1364,Configuration_4_v1.png,human,2,0:00:32,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
see the row of yellow blocks on your right? the second one from the top,1573,Configuration_4_v1.png,human,1,0:00:54,"I made sure to say right and left in relation to THEIR view, not mine","some were really easy, some challenging. the challenging ones had a bunch of the same colored block with the targeted block in center of them",,30,female,homemaker,15-20,Right,1,1,1,2,2,no not really,927
There is a block in the right side of the table. Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up the block,1408,Configuration_4_v1.png,robot,3,0:00:59,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Pick up the yellow block to the left of the blue block farthest to your right.,304,Configuration_4_v1.png,robot,2,0:00:52,"Using close and far, using left and right, using center.","It was of average difficulty. The most challenging aspect was getting past some of the ugly, awkward language required to describe the tasks, without making the instructions incredibly long.",A2WGW5Y3ZFBDEC,45,male,insurance processor,>20,Right,1,2,3,5,7,No.,88
Pick up the yellow block that is  to the immediate left of the blue block on your right.,1242,Configuration_4_v1.png,robot,3,0:01:38,"I'm not sure that I developed a specific strategy, other than observing what made a particular block's position unique and unambiguous.","The task was somewhat challenging. The most difficult positions to describe seemed to be the ones that were adjacent to similarly colored blocks, and that were second from one's right, or third...the instructions seemed too wordy in those cases.",,37,female,E-Commerce Manager,>20,Right,1,1,1,3,1,"No, I've not.",74
"Pick up the yellow block on your right side, 3 blocks away from you to the left of the blue block.",1496,Configuration_4_v1.png,robot,3,0:01:25,I mainly trued to give specific directional instructions. Specified block color and area of the table from robots point of view,At first it was hard to get the hang of. I would say it was most difficult when the selected block was surrounded by blocks of the same color or when there was another similar block pattern on the table making it harder to specify which area of the table.,,30,female,caregiver,>20,Right,1,1,1,1,1,,904
pick up the yellow block fourth from the bottom on the string of blocks on your right.  It's immediately next to the far right blue block.,1395,Configuration_4_v1.png,human,2,0:01:00,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together.,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Pick up the yellow block that is closest to the rightmost blue block.,914,Configuration_4_v1.png,robot,2,0:00:57,Using proximity for any blocks that were not outliers was my most used strategy.,It was mildly challenging. The hardest part was dealing with blocks nearer to the middle.,,34,male,Manager,>20,Right,1,3,3,7,7,No.,18
Get the yellow block that is on the right of you and the second farthest one away from you.,250,Configuration_4_v1.png,robot,1,0:00:42,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the yellow block that is directly to the left of the blue block on the right side of the table.,1386,Configuration_4_v1.png,robot,3,0:00:35,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the yellow block to the right of the blue block on the left side.,1542,Configuration_4_v1.png,robot,2,0:00:32,I had no particular strategy in mind.,The most difficult was trying to distinguish blocks of the same color.,,27,female,X-Ray Tech,15-20,Right,1,1,1,3,1,I went to a Science Fair with remote control robots.,922
Pick up the yellow block to the north west of the blue block furthest to your right.,1427,Configuration_4_v1.png,robot,1,0:01:32,No strategies,I found some to be more difficult than others depending how many blocks were grouped together.,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the yellow block that is just to your left of the blue block that is farthest to your right.,124,Configuration_4_v1.png,robot,2,0:00:38,"none really, just described its location and its relation to the other blocks",trying to keep my right and left and the robot's right and left straight,,39,female,unemployed,>20,Right,1,2,3,6,3,not that I can remember,90
Look for the two yellow blocks that have blue blocks on their left and right. Take the yellow block that is on the right.,1453,Configuration_4_v1.png,robot,1,0:00:45,"Find color patterns that are nearby to use as references, then direct the robot to the block closest to those.","The most challenging aspect was how to use simple terms and language that made sense. Overall some of it was very easy, but there were certainly challenging aspects to a number of the scenarios. I had to make sure when I gave directions to include the orientation of the robot, which is the reverse of mine.","The instructions were not the most clear, but I hope I did them correct.",25,male,Student,>20,Right,1,2,3,7,7,Not that I can recall.,900
yellow block surrounded by more yellow blocks,6,Configuration_4_v1.png,robot,4,0:00:19,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience,216
Take the yellow block that is surrounded on all four sides by other blocks.,818,Configuration_4_v1.png,robot,2,0:00:39,I tried to find the easiest and most concise explanation I could think of.,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some.,94
"Find the two yellow blocks that are in between two blue blocks. Of those two yellow blocks, pick up the one on your right.",264,Configuration_4_v1.png,robot,1,0:02:02,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10/15/2016,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the yellow block that is being touched by two other yellow blocks and a blue block,1564,Configuration_4_v1.png,robot,1,0:00:26,I went with describing how far away it was.,Somewhat easy.,I love you,28,male,mturker,>20,Left,1,1,1,6,4,no,926
