Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID,RosariosComments
Pick the orange block that is closest to you,Configuration_10_v2.png,robot,4,0:00:21,I looked at the block placement from the robots view and angle and used direction to explain it.,"It was interesting and slightly challenging, relatively easy",,43,female,financial employee,>20,Right,1,1,1,3,2,,80,
Pick the blue block that is closer to you and right next to the yellow block,Configuration_14_v1.png,robot,4,0:00:32,I looked at the block placement from the robots view and angle and used direction to explain it.,"It was interesting and slightly challenging, relatively easy",,43,female,financial employee,>20,Right,1,1,1,3,2,,80,
Pick the green block that is closest to you,Configuration_9_v2.png,robot,5,0:00:16,I looked at the block placement from the robots view and angle and used direction to explain it.,"It was interesting and slightly challenging, relatively easy",,43,female,financial employee,>20,Right,1,1,1,3,2,,80,
Pick the blue block that is farthest from you and right above the orange block,Configuration_12_v1.png,robot,4,0:00:40,I looked at the block placement from the robots view and angle and used direction to explain it.,"It was interesting and slightly challenging, relatively easy",,43,female,financial employee,>20,Right,1,1,1,3,2,,80,
"Pick up the block that is the closest to the one right in your direct line of sight. So look straight in front and notice the block that you see first, the block you want to pick up is the one closest to it.",Configuration_11_v2.png,human,2,0:03:23,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"There are five blocks that are green in close proximity to each other, you can see them starting from your left. Pick up the green block that is in the middle of the group.",Configuration_6_v1.png,human,3,0:03:28,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
Pick up the orange block that is the closest to you.,Configuration_10_v2.png,human,5,0:00:53,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
Pick up the green block that is the furthest away from you.,Configuration_9_v1.png,human,5,0:00:31,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"Pick up the purple block that is the furthest away from you, this block is also the second purple block that you see looking from your right and going left.",Configuration_12_v2.png,human,4,0:01:18,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"This block is the second purple block that you will see, as you look from your left in- if you were to look from left to right.",Configuration_2_v1.png,human,4,0:01:34,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
Pick up the green block that is the furthest away from you.,Configuration_3_v2.png,human,5,0:00:36,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"Pick up the closest orange block that you see in front of you. There are three orange blocks total, you want to the one  that is more closer to you than the other.",Configuration_13_v1.png,human,4,0:02:01,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"Looking from left to right, ignore the first three purple blocks that you see. Now pick up the purple block is the closest to you out of the remaining three purple blocks. This block is touching another purple as well as located closer to you.",Configuration_14_v2.png,human,3,0:02:52,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"Look for the rightmost purple block, the block that you want to pick up is yellow and also touching this specific purple block.",Configuration_4_v1.png,human,4,0:01:32,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"There are two green blocks touching each other, they are very well aligned, if spread apart they can be considered as being parallel to one another. You want to pick up the green block that is the closest to these two green blocks.",Configuration_8_v2.png,human,3,0:04:09,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"From the left, and looking right, pick up the first purple block that you see. This block is also the closest purple block near you.",Configuration_7_v1.png,human,5,0:01:43,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"Pick up the first green block that you see when you look directly forward, this block is also the closest green block near you.",Configuration_1_v2.png,human,5,0:01:53,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
"From your left and looking right as you examined the blocks. The first two orange blocks that you see; out of those two orange, the one to pick up is the one farther away from your position.",Configuration_5_v1.png,human,3,0:03:29,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81,
Pick up the green block which is on your right side and closest to you.,Configuration_1_v2.png,robot,5,0:00:32,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
"Pick up the green block which is farthest away from you, and lies between an orange block and a yellow block.",Configuration_9_v1.png,robot,4,0:00:54,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
"Pick up the yellow block which is the third block on your right, beyond the orange block and a yellow block.",Configuration_4_v2.png,robot,2,0:01:35,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Pick up the green block which is closest to you.,Configuration_3_v1.png,robot,5,0:00:18,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
"Pick up the orange block which is closest to you, between the blue block and yellow block.",Configuration_10_v2.png,robot,4,0:00:48,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Pick up the blue block which is farthest to your right.,Configuration_14_v1.png,robot,5,0:00:32,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Pick up the blue block which is farthest from you.,Configuration_12_v2.png,robot,5,0:00:15,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
"Pick up the blue block on your left, which is the second from the left nearest you.",Configuration_2_v1.png,robot,3,0:00:27,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Pick up the yellow block in the cluster of four yellow blocks that is adjacent to the green block.,Configuration_13_v2.png,robot,2,0:01:07,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Pick up the yellow block that is between a green block and a blue block.,Configuration_11_v1.png,robot,3,0:00:49,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Go past the two yellow blocks in front of you and pick up the green block that is before the two orange blocks.,Configuration_6_v2.png,robot,2,0:00:42,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Pick up the orange block that is farthest from you.,Configuration_5_v1.png,robot,5,0:00:25,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Reach forward in the center and pick up the green block that is immediately before the yellow block.,Configuration_8_v2.png,robot,1,0:01:43,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
Pick up the blue block to your left side.,Configuration_7_v1.png,robot,5,0:00:18,"My strategy was to identify the block color, and location as to left-right and nearest-furthest. After that, I went for the relationship to nearby blocks.",The most challenging aspect was trying to distinguish blocks of the same color in clear English.,"1. I think I wrote down the wrong block color in one of my answers; it was a difficult question and I was looking at a number of different blocks trying to formulate my answer.

2. I notice the difficulty scale had to be clicked twice; once to bring it into focus, and once to make the selection. I am worried that sometimes my selection was not recorded.

3. Thank you for the opportunity, this was an interesting task!",40,male,"Operations Specialist, Provincial Government",>20,Right,1,2,2,6,7,I have not seen robots in person.,86,
reach over all the blocks a grab the yellow block in the back.,Configuration_5_v2.png,human,5,0:00:32,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the blue block on your far right.,Configuration_14_v1.png,human,5,0:00:26,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the green block in the center of all of the blocks.,Configuration_8_v2.png,human,5,0:00:43,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the blue block on your far left.,Configuration_7_v1.png,human,5,0:00:20,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab your the green block closest too you.,Configuration_1_v2.png,human,5,0:00:31,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the second closest yellow block on your right.,Configuration_11_v1.png,human,3,0:00:34,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the green block closest to you.,Configuration_9_v2.png,human,5,0:00:22,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
Grab the second furthest blue block away from you.,Configuration_12_v1.png,human,2,0:01:17,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the orange block that is closest to you.,Configuration_10_v2.png,human,4,0:00:28,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the blue block that is closest to you on your  left.,Configuration_2_v1.png,human,3,0:00:42,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the green block in the center of all the blocks.,Configuration_6_v2.png,human,5,0:00:19,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the orange block closest to you.,Configuration_13_v1.png,human,5,0:00:23,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the green block on your left.,Configuration_3_v2.png,human,5,0:00:19,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
grab the yellow block next to the blue block on your right.,Configuration_4_v1.png,human,2,0:00:45,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87,
Pick up the closest green block in front of you,Configuration_9_v2.png,robot,5,0:00:29,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the blue block furthest to the right,Configuration_14_v1.png,robot,5,0:00:27,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the blue block behind the orange block,Configuration_2_v2.png,robot,5,0:00:38,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the closest green block to the front,Configuration_3_v1.png,robot,4,0:00:25,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the 1st orange block on the right,Configuration_10_v2.png,robot,4,0:00:26,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the green block that is between 2 green blocks and is in front of the blue block,Configuration_8_v1.png,robot,2,0:01:48,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the green block that is in the center of the table and in front of the orange block,Configuration_6_v2.png,robot,2,0:00:46,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the yellow block on the left that is in front of the blue block,Configuration_11_v1.png,robot,2,0:00:39,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the blue block furthest from you inh the center of the table,Configuration_12_v2.png,robot,4,0:00:51,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the yellow block on the table,Configuration_1_v1.png,robot,5,0:00:20,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the 1st green block on your left,Configuration_7_v2.png,robot,4,0:00:22,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the 1st orange block that is in front  of the orange block,Configuration_13_v1.png,robot,2,0:00:50,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the yellow block that is to the right and behind the orange block,Configuration_4_v2.png,robot,2,0:01:01,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
Pick up the furthest orange block on your left,Configuration_5_v1.png,robot,4,0:01:00,"Using terms right. left, closest .furthest",Not too bad. Could have probably worded nicer,Was pretty cool - thanks,58,male,cashier,15-20,Right,1,2,1,1,1,"No, would like to",84,
pick up the yellow block furthest from you,Configuration_5_v2.png,human,5,0:00:13,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
Grab the yellow block third from your right,Configuration_4_v1.png,human,5,0:00:21,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
pick up the green block closest to you,Configuration_9_v2.png,human,5,0:00:12,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
pick up the yellow block that is second from the left.,Configuration_11_v1.png,human,5,0:00:17,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
Grab the blue block that is third from the left.,Configuration_2_v2.png,human,5,0:00:19,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
grab the closest green block,Configuration_3_v1.png,human,5,0:00:11,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
pick up the closest green block,Configuration_1_v2.png,human,5,0:00:12,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
pick up the closest blue block,Configuration_7_v1.png,human,5,0:00:10,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
grab the green block in the center of the table.,Configuration_6_v2.png,human,4,0:00:16,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
grab the orange block closest to you.,Configuration_13_v1.png,human,5,0:00:15,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
Grab the green block that is in the center of the table and touching one other green block.,Configuration_8_v2.png,human,5,0:00:35,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
grab the blue block that is the second furthest from you.,Configuration_12_v1.png,human,4,0:00:15,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
grab the second closest blue block from you,Configuration_14_v2.png,human,5,0:00:18,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
grab the left-most orange block.,Configuration_10_v1.png,human,5,0:00:21,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85,
"Look at the green block in front of you. Do not grab that, but reach for the blue block that is on the other side of it, closest to me.",Configuration_14_v2.png,human,5,0:00:33,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Look at the orange block that is closest to me. Reach across and grab that and pick it up.,Configuration_5_v1.png,human,5,0:00:27,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Grab the green block that is closest to you.,Configuration_1_v2.png,human,5,0:00:15,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
"Look at the group of 3 orange boxes. Grab the one that is closest to you, the one nearly touching the yellow bock.",Configuration_13_v1.png,human,5,0:00:38,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Grab the green block that is closest to me. The one that is near the two blocks directly in front of me.,Configuration_3_v2.png,human,5,0:00:23,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Do you see the two blue blocks closest to me? Grab the one on your left side.,Configuration_12_v1.png,human,4,0:00:29,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Do you see the orange block towards your right? There is a yellow block behind it. Do not grab that block but the other yellow one right next to it.,Configuration_4_v2.png,human,4,0:00:42,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Grab the blue block that is closer to your side of the table.,Configuration_7_v1.png,human,5,0:00:14,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
"There is a group of green blocks on your left and one green block on your right. Ignore those, and grab the green block that falls in the center, almost touching the orange block.",Configuration_6_v2.png,human,4,0:00:44,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
"Do you see the string of 3 green blocks in the center, near the yellow block near me? Grab the green block in the center of that line up.",Configuration_8_v1.png,human,4,0:00:37,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Grab the orange block closest to you on the table.,Configuration_10_v2.png,human,5,0:00:12,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Grab the green box closest to me on the table.,Configuration_9_v1.png,human,5,0:00:11,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
