Description,Index,Scenario,NumOfWords,TargetBlockId,ClickedBlockIdList,Accuracy(AvgOn10),TimeToComplete(AvgOn10),InternalUserIDList
Pick up the green block that is only touching the orange block.,1525,Configuration_6_v2.png,12,8,"[8, 8, 3, 8, 8, 8, 8, 8, 8, 8]",0.9,10.2138143,"[508, 413, 92, 456, 136, 374, 219, 265, 579, 314]"
Pick up the blue block behind the middle one that's closest to you.,1526,Configuration_2_v2.png,13,10,"[7, 10, 7, 11, 10, 11, 5, 11, 10, 1]",0.3,27.7354189,"[427, 122, 241, 10, 569, 443, 178, 483, 361, 301]"
Take the yellow block that is surrounded on all four sides by other blocks.,818,Configuration_4_v1.png,14,6,"[6, 5, 6, 6, 6, 6, 6, 6, 8, 6]",0.818181818182,23.8500948182,"[539, 169, 19, 261, 131, 452, 336, 409, 370, 492]"
Take the green block that is closest to you.,819,Configuration_1_v2.png,9,8,"[8, 8, 5, 8, 8, 8, 8, 8, 8, 8]",0.909090909091,4.21169236364,"[237, 6, 576, 396, 332, 479, 156, 118, 439, 283]"
Pick up the block closest to you on the right.,1527,Configuration_3_v1.png,10,6,"[6, 6, 6, 6, 6, 6, 15, 14, 6, 6]",0.8,8.4714656,"[497, 150, 591, 386, 326, 277, 433, 231, 520, 104]"
Pick up the blue block on the left.,810,Configuration_7_v1.png,8,13,"[13, 13, 13, 13, 13, 13, 2, 13, 13, 2]",0.833333333333,5.65432808333,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
Pick up the second yellow block on your left.,811,Configuration_4_v2.png,9,5,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",0.0909090909091,7.83866345455,"[435, 388, 475, 152, 247, 2, 328, 522, 279, 106]"
Pick up the farthest orange block from you on your left.,812,Configuration_5_v1.png,11,11,"[11, 11, 11, 11, 11, 11, 5, 11, 11, 6]",0.8,9.2939258,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
Take the yellow block that touches a green block and other yellow blocks.,813,Configuration_13_v2.png,13,9,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 10]",0.9,13.6425136,"[491, 451, 18, 369, 309, 260, 168, 538, 130, 408]"
Take the yellow block that is surrounded by blocks on all sides.,814,Configuration_11_v1.png,12,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,11.7170423,"[146, 227, 100, 587, 273, 516, 469, 421, 348, 382]"
Take the blue block right behind the green block that is directly in front of you.,815,Configuration_14_v2.png,16,7,"[7, 7, 10, 7, 7, 7, 6, 7, 7, 6]",0.7,9.9010949,"[363, 243, 12, 532, 485, 162, 124, 464, 402, 289]"
Take the orange block that is all the way on the right.,816,Configuration_10_v1.png,12,15,"[2, 15, 15, 2, 2, 15, 2, 15, 2, 15]",0.545454545455,12.3280989091,"[512, 378, 318, 583, 460, 223, 142, 96, 417, 269]"
Take the green block nearest to you.,817,Configuration_9_v2.png,7,6,"[6, 11, 6, 11, 6, 6, 6, 6, 6, 6]",0.818181818182,4.16246054545,"[403, 571, 364, 304, 125, 244, 465, 179, 13, 486]"
Pick up the middle orange block.,1250,Configuration_13_v1.png,6,2,"[2, 2, 2, 2, 2, 2, 2, 2, 5, 2]",0.916666666667,3.77239141667,"[315, 457, 220, 509, 93, 414, 375, 137, 266, 580]"
Pick up the blue block behind the closest green block.,1251,Configuration_14_v2.png,10,7,"[13, 7, 7, 7, 7, 7, 7, 9, 7, 7]",0.818181818182,15.4467100909,"[610, 603, 490, 17, 407, 167, 129, 368, 537, 308]"
Pick up the box furthest to your left.,1490,Configuration_10_v1.png,8,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",1.0,7.91466836364,"[103, 230, 432, 325, 590, 149, 472, 385, 276, 519]"
Pick up the yellow box to your right.,1491,Configuration_1_v1.png,8,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,7.91496,"[147, 422, 470, 517, 588, 101, 350, 246, 274, 383]"
"There are two blue boxes behind and orange block on your left, pick up the blue box on the right.",1492,Configuration_2_v2.png,20,10,"[4, 10, 10, 11, 1, 10, 10, 10, 10, 12]",0.636363636364,18.1643817273,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
Pick up the orange block at the back of the group of 3 orange blocks.,1493,Configuration_5_v1.png,15,11,"[11, 11, 11, 11, 11, 11, 11, 10, 11, 11]",0.909090909091,12.4092853636,"[373, 218, 296, 313, 134, 412, 505, 578, 455, 91]"
Pick up the blue box furthest to your right.,1494,Configuration_11_v2.png,9,4,"[4, 10, 4, 4, 4, 4, 4, 4, 4, 4]",0.9,6.9776992,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Pick up the green block that has 2 yellow boxes in front of it and 2 orange blocks behind it.,1495,Configuration_6_v2.png,20,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,14.4217217273,"[449, 166, 536, 406, 16, 489, 258, 128, 367, 307]"
"Pick up the yellow block on your right side, 3 blocks away from you to the left of the blue block.",1496,Configuration_4_v1.png,21,6,"[8, 6, 5, 6, 5, 7, 6, 7, 6, 10]",0.5,23.1869066667,"[491, 451, 18, 369, 309, 260, 168, 538, 130, 408]"
Pick up the third blue block from your right.,1497,Configuration_12_v1.png,9,8,"[4, 8, 8, 8, 8, 8, 8, 8, 8, 8]",0.9,12.3685343,"[566, 467, 144, 419, 271, 380, 320, 225, 98, 605]"
"Pick up the green block on your left side, in front of the furthest blue block.",1498,Configuration_3_v2.png,16,12,"[12, 6, 12, 12, 12, 12, 12, 12, 12, 12]",0.9,12.7065573,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
Pick up the block on your left side thats in the middle.,1499,Configuration_13_v2.png,12,9,"[6, 10, 9, 6, 10, 13, 9, 9, 6, 9]",0.5,13.0122420833,"[7, 397, 480, 157, 284, 119, 527, 333, 440, 238]"
Grab the green block that is closest to you.,423,Configuration_1_v2.png,9,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,5.06891945455,"[103, 230, 432, 325, 590, 149, 472, 385, 276, 519]"
Look at the orange block that is closest to me. Reach across and grab that and pick it up.,422,Configuration_5_v1.png,19,11,"[11, 7, 11, 11, 11, 11, 11, 11, 11, 11]",0.909090909091,12.7629271818,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
pick up the blue block on your left.,1393,Configuration_7_v1.png,8,13,"[13, 13, 2, 13, 13, 2, 13, 13, 2, 13]",0.727272727273,8.19795118182,"[539, 169, 19, 261, 131, 452, 336, 409, 370, 492]"
"Look at the group of 3 orange boxes. Grab the one that is closest to you, the one nearly touching the yellow bock.",424,Configuration_13_v1.png,23,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,10.781754,"[103, 230, 432, 325, 590, 149, 472, 385, 276, 519]"
Do you see the orange block towards your right? There is a yellow block behind it. Do not grab that block but the other yellow one right next to it.,427,Configuration_4_v2.png,30,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,17.5062117,"[7, 397, 480, 157, 284, 119, 527, 333, 440, 238]"
the green block closest to you,1129,Configuration_9_v2.png,6,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,3.52586833333,"[7, 397, 480, 157, 284, 119, 527, 333, 440, 238]"
Please select the green box furtherest away from you.,1120,Configuration_9_v1.png,9,11,"[11, 11, 11, 11, 6, 6, 11, 11, 11, 11]",0.8,6.1826037,"[146, 227, 100, 587, 273, 516, 469, 421, 348, 382]"
the second blue block from my left,1121,Configuration_14_v2.png,7,7,"[10, 3, 7, 6, 10, 10, 9, 6, 7, 6]",0.466666666667,9.53595366667,"[365, 534, 14, 126, 305, 447, 245, 487, 164, 404]"
the third blue block from my left,1122,Configuration_12_v1.png,7,8,"[12, 4, 8, 4, 8, 8, 8, 8, 8, 8]",0.769230769231,11.5099424615,"[15, 127, 405, 165, 366, 488, 448, 535, 306, 248]"
the green block on my right,1123,Configuration_3_v2.png,6,12,"[12, 6, 12, 12, 12, 6, 12, 12, 12, 12]",0.8,21.5339379,"[508, 413, 92, 456, 136, 374, 219, 265, 579, 314]"
the yellow block second closest to me touching the blue block furthest to the right,1124,Configuration_4_v1.png,15,6,"[6, 7, 6, 6, 13, 7, 10, 7, 6, 6]",0.615384615385,21.0291602308,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
the green block closest to you,1125,Configuration_1_v2.png,6,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,5.74453336364,"[610, 603, 490, 17, 407, 167, 129, 368, 537, 308]"
the 2nd yellow block from my right,1126,Configuration_11_v1.png,7,11,"[11, 11, 1, 8, 11, 11, 15, 11, 1, 1]",0.545454545455,10.7944603636,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
the 2nd green block from my left,1127,Configuration_6_v2.png,7,8,"[14, 8, 8, 3, 8, 8, 8, 3, 11, 8]",0.666666666667,10.3722525833,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
Pick up the blue block near to the yellow block.,524,Configuration_14_v1.png,10,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,12.0956013333,"[226, 468, 593, 381, 515, 321, 605, 272, 145, 99]"
Pick up the first green block very near to you.,525,Configuration_9_v2.png,10,6,"[6, 6, 6, 6, 6, 6, 11, 6, 6, 6]",0.916666666667,4.73850066667,"[363, 243, 12, 532, 485, 162, 124, 464, 402, 289]"
Pick up the centre green block in the three green block set.,526,Configuration_8_v1.png,12,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,12.7031854,"[103, 230, 432, 325, 590, 149, 472, 385, 276, 519]"
Pick up the blue block near to the green block.,527,Configuration_11_v2.png,10,4,"[4, 4, 11, 4, 4, 4, 4, 4, 4, 4]",0.909090909091,8.29540881818,"[363, 243, 12, 532, 485, 162, 124, 464, 402, 289]"
Move the yellow block on the top and then pick up the yellow block near the blue block.,520,Configuration_4_v1.png,18,6,"[7, 7, 8, 6, 6, 10, 6, 7, 7, 5]",0.363636363636,21.9513647273,"[146, 227, 100, 587, 273, 516, 469, 421, 348, 382]"
Pick up the green block right in front of the two blue blocks that are furthest away from you.,1019,Configuration_3_v2.png,19,12,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",1.0,12.7564596,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Pick up last blue block near the orange block.,522,Configuration_12_v1.png,9,8,"[1, 4, 4, 8, 12, 12, 8, 8, 4, 12]",0.363636363636,18.5963479091,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
Pick up the orange block very near by you.,523,Configuration_2_v2.png,9,10,"[9, 9, 5, 9, 9, 9, 9, 9, 9, 9]",0.0909090909091,5.67084072727,"[363, 243, 12, 532, 485, 162, 124, 464, 402, 289]"
"Pick up the green block that is all by itself, between a yellow and orange block.",1014,Configuration_9_v1.png,16,11,"[11, 11, 11, 11, 11, 6, 11, 11, 11, 11]",0.923076923077,9.65525630769,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Pick up the blue block that is furthest away from you.,1015,Configuration_12_v2.png,11,1,"[1, 1, 1, 1, 1, 1, 6, 1, 1, 6]",0.818181818182,5.95476736364,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
Pick up the blue block in the middle of a group of three closely clustered blue blocks; between and orange and a yellow block.,1016,Configuration_2_v1.png,24,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,44.7722915,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
Pick up the yellow block furthest away from you.,1017,Configuration_5_v2.png,9,10,"[10, 10, 10, 10, 10, 10, 14, 10, 10, 10]",0.916666666667,5.18389808333,"[363, 243, 12, 532, 485, 162, 124, 464, 402, 289]"
Pick up the yellow block surrounded by three green blocks and one blue block.,1010,Configuration_11_v1.png,14,11,"[11, 11, 11, 11, 11, 11, 11, 11, 9, 11]",0.9,14.9630241,"[539, 169, 19, 261, 131, 452, 336, 409, 370, 492]"
Pick up the green block near to the blue block.,529,Configuration_7_v2.png,10,14,"[14, 14, 14, 13, 14, 14, 14, 14, 14, 14]",0.909090909091,8.63360527273,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Pick up the yellow block.,1012,Configuration_1_v1.png,5,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,53.5372495,"[539, 169, 19, 261, 131, 452, 336, 409, 370, 492]"
Pick up the orange block that is closest to you.,1013,Configuration_10_v2.png,10,6,"[6, 6, 6, 6, 15, 6, 6, 15, 6, 6]",0.818181818182,6.80044563636,"[282, 109, 395, 525, 438, 331, 236, 605, 478, 5]"
Pick up the blue block that is the to the right of the leftmost blue block from your perspective.,1234,Configuration_2_v1.png,19,11,"[10, 7, 7, 5, 7, 11, 11, 11, 11, 11]",0.615384615385,23.5594076154,"[316, 581, 267, 94, 415, 221, 376, 138, 458, 510]"
Pick up the blue block that is closest to you.,1235,Configuration_11_v2.png,10,4,"[4, 4, 4, 4, 4, 10, 10, 10, 4, 4]",0.7,6.0676668,"[365, 534, 14, 126, 305, 447, 245, 487, 164, 404]"
Pick up the green block that is centered between the two sets of two green blocks that are on your left.,1236,Configuration_6_v1.png,21,12,"[12, 12, 8, 8, 12, 12, 12, 8, 12, 12]",0.8125,18.5735985625,"[524, 235, 4, 330, 108, 437, 394, 477, 154, 281]"
Pick up the left-most green block from your perspective.,1237,Configuration_7_v2.png,9,14,"[4, 4, 14, 14, 15, 14, 14, 4, 14, 14]",0.636363636364,10.28241,"[316, 581, 267, 94, 415, 221, 376, 138, 458, 510]"
Pickup the green block that is closest to you.,1230,Configuration_3_v1.png,9,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 12]",0.9,6.4076307,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
Pickup the green block that is the farthest to the right.,1231,Configuration_7_v2.png,11,14,"[4, 4, 4, 4, 14, 4, 4, 14, 4, 4]",0.2,15.7031035,"[282, 109, 395, 525, 438, 331, 236, 605, 478, 5]"
Pick up the yellow block that is immediately to  the right of a green block.,1233,Configuration_13_v2.png,15,9,"[9, 9, 15, 9, 9, 9, 7, 13, 9, 9]",0.7,17.1574469,"[497, 150, 591, 386, 326, 277, 433, 231, 520, 104]"
Pick up the blue block that sits farthest to your right.,1238,Configuration_14_v1.png,11,3,"[3, 3, 13, 3, 13, 13, 3, 3, 3, 3]",0.727272727273,9.98339427273,"[484, 288, 401, 570, 135, 362, 444, 161, 242, 11]"
Pick up the orange block that is closest to you.,1239,Configuration_10_v2.png,10,6,"[6, 6, 6, 6, 6, 6, 6, 15, 6, 6]",0.923076923077,5.06135715385,"[512, 378, 318, 583, 460, 223, 142, 96, 417, 269]"
Pick up the green block near the center that is closely sandwiched between two other green blocks.,438,Configuration_8_v1.png,17,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,9.38685935714,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
Pick up the orange block that is closest to you.,439,Configuration_10_v2.png,10,6,"[6, 15, 6, 6, 6, 6, 6, 6, 6, 6]",0.9,8.9048313,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
Pick up the yellow block the third yellow block back on your right hand side next to the blue block.,436,Configuration_4_v1.png,20,6,"[6, 5, 3, 6, 6, 10, 6, 6, 10, 10]",0.545454545455,18.8067760909,"[566, 467, 144, 419, 271, 380, 320, 225, 98, 605]"
Pick up the green block that is farthest on your left.,437,Configuration_3_v2.png,11,12,"[12, 10, 6, 12, 6, 12, 12, 6, 6, 6]",0.454545454545,6.34786427273,"[484, 288, 401, 570, 135, 362, 444, 161, 242, 11]"
"There is a cluster of 3 blue blocks to your left. It is near an orange block. Grab the one in the center, it should be the closest one to you in that group.",434,Configuration_2_v1.png,34,11,"[11, 1, 11, 11, 11, 11, 9, 11, 11, 11]",0.8,27.7894374,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
Pick up the blue block that is behind the green block closest to you.,435,Configuration_14_v2.png,14,7,"[7, 7, 13, 7, 7, 7, 7, 7, 7, 7]",0.9,12.1443248,"[237, 6, 576, 396, 332, 479, 156, 118, 439, 283]"
Grab the green box closest to me on the table.,432,Configuration_9_v1.png,10,11,"[11, 11, 11, 6, 11, 11, 11, 11, 11, 6]",0.8,7.190799,"[7, 397, 480, 157, 284, 119, 527, 333, 440, 238]"
Grab the blue box closest to you on the table.,433,Configuration_11_v2.png,10,4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,6.16698981818,"[147, 422, 470, 517, 588, 101, 350, 246, 274, 383]"
"Do you see the string of 3 green blocks in the center, near the yellow block near me? Grab the green block in the center of that line up.",430,Configuration_8_v1.png,29,6,"[6, 6, 6, 6, 6, 6, 6, 10, 6, 6]",0.909090909091,12.4446748182,"[427, 122, 241, 10, 569, 443, 178, 483, 361, 301]"
Grab the orange block closest to you on the table.,431,Configuration_10_v2.png,10,6,"[6, 6, 14, 6, 6, 6, 6, 6, 6, 15]",0.866666666667,7.1726508,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
Pick up the orange block that is second from the right from your view.,238,Configuration_13_v1.png,14,2,"[5, 2, 2, 2, 2, 2, 2, 5, 2, 1]",0.769230769231,11.6144526923,"[373, 218, 296, 313, 134, 412, 505, 578, 455, 91]"
Pick up the nearest blue block.,239,Configuration_11_v2.png,6,4,"[4, 4, 4, 4, 10, 4, 4, 4, 4, 4]",0.909090909091,4.87813145455,"[226, 468, 593, 381, 515, 321, 605, 272, 145, 99]"
Pick up the blue block that is northwest to the nearest orange block from your view.,234,Configuration_2_v1.png,16,11,"[5, 11, 10, 11, 5, 11, 10, 10, 10, 11]",0.454545454545,25.7816618182,"[610, 603, 490, 17, 407, 167, 129, 368, 537, 308]"
Pick up the green block closest to you.,235,Configuration_1_v2.png,8,8,"[8, 3, 8, 8, 8, 8, 8, 8, 8, 8]",0.9,11.7314505,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Pick up the green block that is closest to you (below the yellow and blue blocks from your view).,236,Configuration_3_v1.png,19,6,"[6, 6, 12, 6, 6, 6, 6, 6, 6, 6]",0.9,13.3651346,"[237, 6, 576, 396, 332, 479, 156, 118, 439, 283]"
Pick up the green block closest to you (below the yellow block from your view).,237,Configuration_9_v2.png,15,6,"[6, 6, 11, 6, 6, 11, 6, 5, 11, 5]",0.545454545455,27.6987093636,"[539, 169, 19, 261, 131, 452, 336, 409, 370, 492]"
Pick up the nearest green block that is directly northwest of the yellow block closest to me.,230,Configuration_8_v1.png,17,6,"[1, 1, 6, 13, 1, 10, 13, 1, 10, 10]",0.181818181818,21.2813237273,"[566, 467, 144, 419, 271, 380, 320, 225, 98, 605]"
Pick up the orange block that is furthest away from me.,231,Configuration_10_v2.png,11,6,"[15, 15, 15, 6, 6, 6, 6, 6, 6, 15]",0.692307692308,5.517642,"[316, 581, 267, 94, 415, 221, 376, 138, 458, 510]"
Pick up the yellow block that is in between two green blocks and above the blue block.,232,Configuration_11_v1.png,17,11,"[11, 9, 9, 11, 11, 9, 9, 11, 11, 11]",0.714285714286,17.3556972143,"[103, 230, 432, 325, 590, 149, 472, 385, 276, 519]"
Pick up the yellow block that is closest to me.,233,Configuration_5_v2.png,10,10,"[10, 10, 14, 14, 10, 10, 10, 10, 2, 2]",0.636363636364,5.63445236364,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
Grab the green block closest to you.,146,Configuration_9_v1.png,7,11,"[6, 11, 6, 11, 6, 6, 6, 6, 6, 6]",0.2,5.4074444,"[403, 571, 364, 304, 125, 244, 465, 179, 13, 486]"
Grab the yellow block directly above the yellow block that is closest to you.,144,Configuration_4_v1.png,14,6,"[8, 10, 8, 8, 8, 8, 8, 8, 8, 8]",0.166666666667,7.90179175,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Grab the green block that is in the middle of the cluster of 3 green blocks.,142,Configuration_8_v1.png,16,6,"[7, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.933333333333,17.7271804667,"[373, 218, 296, 313, 134, 412, 505, 578, 455, 91]"
Grab the right-most green block.,143,Configuration_7_v2.png,5,14,"[4, 4, 4, 4, 15, 4, 4, 4, 4, 4]",0.166666666667,8.09062075,"[229, 324, 102, 471, 518, 275, 589, 384, 431, 148]"
Pick up the blue block that is the farthest to your right.,140,Configuration_14_v1.png,12,3,"[3, 3, 3, 3, 13, 3, 3, 13, 3, 3]",0.833333333333,5.57246241667,"[282, 109, 395, 525, 438, 331, 236, 605, 478, 5]"
Grab the blue block that is closest to you.,141,Configuration_12_v2.png,9,1,"[6, 1, 6, 6, 6, 6, 6, 6, 6, 6]",0.1,9.3782446,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Grab the left-most blue block.,148,Configuration_14_v1.png,5,3,"[13, 13, 3, 13, 13, 13, 3, 13, 13, 13]",0.272727272727,5.45383836364,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
Grab the orange block that is closest to me.,149,Configuration_10_v2.png,9,6,"[15, 15, 15, 15, 6, 15, 6, 15, 15, 15]",0.272727272727,4.35149836364,"[226, 468, 593, 381, 515, 321, 605, 272, 145, 99]"
pick up the yellow block that is furthest from you.,939,Configuration_5_v2.png,10,10,"[10, 14, 10, 10, 10, 10, 10, 10, 10, 10]",0.916666666667,10.9464889167,"[373, 218, 296, 313, 134, 412, 505, 578, 455, 91]"
Pick up the blue block that is directly ahead of the closest green block to you.,933,Configuration_14_v2.png,16,7,"[7, 6, 9, 7, 7, 7, 7, 7, 7, 7]",0.8,17.3526851,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
"On the left side, pick up the yellow block that is in-between the green and yellow block",932,Configuration_11_v1.png,17,11,"[11, 11, 11, 11, 2, 9, 11, 6, 15, 11]",0.636363636364,26.2143164545,"[524, 235, 4, 330, 108, 437, 394, 477, 154, 281]"
On the left side pick up the green block that is closest to you.,931,Configuration_7_v2.png,14,14,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 4]",0.9,13.9486197,"[529, 399, 286, 159, 442, 121, 240, 9, 360, 605]"
"On your left side, pick up the blue block that is directly to the left of the orange block.",930,Configuration_2_v1.png,19,11,"[11, 1, 11, 11, 11, 11, 11, 5, 11, 11]",0.818181818182,14.9757806364,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Pick up the closest orange block to you.,937,Configuration_10_v2.png,8,6,"[6, 15, 6, 6, 6, 6, 6, 6, 6, 6]",0.928571428571,5.1662075,"[317, 377, 141, 95, 297, 430, 459, 582, 222, 511]"
Pick up the green block that is not with the other green blocks.,936,Configuration_9_v1.png,13,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,9.1981339,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
Pick up the yellow block that is straight ahead and the farthest from you.,935,Configuration_5_v2.png,14,10,"[10, 2, 10, 10, 10, 8, 10, 10, 10, 8]",0.7,9.0577607,"[508, 413, 92, 456, 136, 374, 219, 265, 579, 314]"
Pick up the farthest blue block from you that is directly above the orange block.,934,Configuration_12_v1.png,15,8,"[8, 4, 8, 8, 8, 1, 8, 8, 8, 8]",0.846153846154,16.3495516923,"[316, 581, 267, 94, 415, 221, 376, 138, 458, 510]"
You will reach to your right and there will be a grouping of three blocks.  you will want to grab the blue one in the middle of the grouping,829,Configuration_11_v2.png,29,4,"[10, 4, 4, 4, 4, 4, 10, 4, 4, 4]",0.8,18.5720218,"[610, 603, 490, 17, 407, 167, 129, 368, 537, 308]"
You will want to reach on the back side of the block pile and there will be two touching on the very back.  you will want the one on the left,828,Configuration_5_v1.png,31,11,"[9, 11, 11, 11, 11, 11, 7, 11, 11, 11]",0.8,23.7791239,"[610, 603, 490, 17, 407, 167, 129, 368, 537, 308]"
Take the yellow block way in the back.,825,Configuration_5_v2.png,8,10,"[10, 2, 10, 10, 2, 10, 10, 10, 10, 10]",0.818181818182,9.11796045455,"[103, 230, 432, 325, 590, 149, 472, 385, 276, 519]"
Take the green block closer to you.,824,Configuration_3_v1.png,7,6,"[6, 6, 6, 6, 12, 6, 6, 6, 6, 6]",0.9,5.0602775,"[226, 468, 593, 381, 515, 321, 605, 272, 145, 99]"
The block you want is the furthest one on the right.  You could take your arm all the way to the right and the first one you touch when coming in will be the one you want.,827,Configuration_7_v2.png,37,14,"[6, 6, 11, 6, 6, 6, 14, 6, 6, 6]",0.181818181818,19.2748620909,"[363, 243, 12, 532, 485, 162, 124, 464, 402, 289]"
Take the blue block in the back that is next to another blue block.,826,Configuration_12_v1.png,14,8,"[8, 1, 1, 8, 1, 1, 8, 1, 1, 1]",0.363636363636,11.5477069091,"[513, 319, 584, 97, 466, 143, 224, 379, 270, 605]"
Take the green block that has two orange blocks behind it.,821,Configuration_6_v2.png,11,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,10.7920246,"[365, 534, 14, 126, 305, 447, 245, 487, 164, 404]"
Pick up the green block furthest to your left.,597,Configuration_3_v2.png,9,12,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",1.0,7.3197738,"[491, 451, 18, 369, 309, 260, 168, 538, 130, 408]"
Take the green block that has a yellow block behind it.,823,Configuration_8_v2.png,11,7,"[7, 13, 7, 10, 13, 13, 13, 7, 13, 13]",0.363636363636,12.9666617273,"[529, 399, 286, 159, 442, 121, 240, 9, 360, 605]"
Take the blue block that touches the orange block.,822,Configuration_2_v1.png,9,11,"[10, 10, 11, 10, 11, 11, 11, 10, 10, 11]",0.615384615385,10.7124426923,"[529, 399, 286, 159, 442, 121, 240, 9, 360, 605]"
Pick up the left blue block that is in the pair of blue blocks farthest from you.,1483,Configuration_12_v1.png,17,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 6]",0.928571428571,12.8025812143,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
Pick up the yellow block that is closest to the green block nearest to you.,1482,Configuration_13_v2.png,15,9,"[9, 12, 9, 10, 9, 9, 9, 9, 9, 9]",0.8,15.721081,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
Pick up the green block nearest you.,1487,Configuration_9_v2.png,7,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,3.585038,"[316, 581, 267, 94, 415, 221, 376, 138, 458, 510]"
Pick up the yellow block to the right of the green block.,1486,Configuration_13_v2.png,12,9,"[9, 9, 9, 9, 12, 13, 9, 9, 9, 9]",0.8,11.1530071,"[146, 227, 100, 587, 273, 516, 469, 421, 348, 382]"
Pick up the blue block in front of the yellow block to your left,1485,Configuration_7_v1.png,14,13,"[2, 13, 2, 13, 13, 13, 13, 13, 13, 2]",0.7,13.2277839,"[529, 399, 286, 159, 442, 121, 240, 9, 360, 605]"
Pick up the green block that is in the left portion of the group.,1484,Configuration_3_v2.png,14,12,"[6, 12, 6, 12, 12, 12, 6, 6, 12, 6]",0.5,11.5481208,"[441, 359, 239, 481, 285, 398, 158, 120, 568, 8]"
Pick up the blue box directly behind the green box that is closest to you.,1489,Configuration_14_v2.png,15,7,"[7, 7, 6, 7, 3, 3, 7, 6, 8, 3]",0.454545454545,11.8609395455,"[484, 288, 401, 570, 135, 362, 444, 161, 242, 11]"
Narrow search to only green blocks. Look at the left side of the table. Find the green block that is fourth-closest to the left side of the table. Pick it up.,797,Configuration_8_v2.png,31,7,"[4, 7, 7, 13, 15, 7, 7, 6, 6, 7]",0.5,22.4386783,"[280, 3, 523, 153, 436, 393, 605, 234, 107, 329]"
